City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,priargunsk,50.3691,119.1012,-18.92,98,100,0.76,RU,1733693080
192,dili,-8.5586,125.5736,26.96,83,99,1.46,TL,1733693081
193,omutinskiy,56.4745,67.6709,-15.24,97,31,3.17,RU,1733693082
194,sake,-1.5736,29.045,16.87,81,33,0.36,CD,1733692912
195,taro,-8.3862,115.28,20.97,100,100,0.41,ID,1733693084
196,alofi,-19.0595,-169.9187,28.94,74,100,5.66,NU,1733693085
197,usogorsk,63.4106,48.6872,-11.86,99,87,1.75,RU,1733693086
198,baneasa,44.0461,26.0642,4.41,95,48,4.85,RO,1733693088
199,ormara,25.2088,64.6357,19.58,32,4,12.03,PK,1733693089
200,ardesen,41.1911,40.9875,14.82,65,87,2.76,TR,1733693090
201,harstad,68.799,16.5293,1.75,95,100,4.92,NO,1733693091
202,whitehorse,60.7161,-135.0538,-9.57,85,75,5.66,CA,1733693092
203,broken hill,-31.95,141.4333,21.98,32,100,4.03,AU,1733693023
204,lihue,21.9789,-159.3672,26.52,78,0,3.6,US,1733692849
205,rocha,-34.4833,-54.3333,14.43,51,0,4.51,UY,1733692582
206,lompoc,34.6391,-120.4579,19.52,61,0,6.69,US,1733693097
207,tafi viejo,-26.732,-65.2592,16.91,82,100,2.06,AR,1733693098
208,mahibadhoo,3.7833,72.9667,27.33,70,53,1.73,MV,1733692872
209,shangzhi,45.2167,127.9667,-17.93,98,17,1.4,CN,1733693102
210,along,28.1667,94.7667,8.22,85,39,0.39,IN,1733693103
211,lerwick,60.1545,-1.1494,5.72,72,6,5.06,GB,1733693104
212,puerto aysen,-45.4,-72.7,13.79,63,96,2.28,CL,1733693105
213,brigantine,39.4101,-74.3646,12.11,49,0,3.6,US,1733692916
214,itacoatiara,-3.1431,-58.4442,26.74,81,99,1.18,BR,1733693109
215,alice springs,-23.7,133.8833,24.75,94,40,2.57,AU,1733693110
216,pekan,3.4836,103.3996,24.03,96,100,3.47,MY,1733693111
217,el bauga,18.262,33.9081,24.84,44,71,5.18,SD,1733693112
218,prineville,44.2999,-120.8345,8.39,53,75,5.14,US,1733693113
219,madalena,41.2162,-8.3345,8.32,70,6,1.42,PT,1733693114
220,nagqu,31.5,92.0,-8.55,23,46,1.39,CN,1733693115
221,namibe,-15.1961,12.1522,23.31,78,95,1.81,AO,1733693117
222,badger,64.8,-147.5333,-17.86,82,0,0.0,US,1733693118
223,suntar,62.1444,117.6319,-19.51,100,100,0.41,RU,1733693119
224,pointe-noire,-4.7761,11.8635,25.04,90,99,1.93,CG,1733693120
225,metlili chaamba,32.2667,3.6333,12.52,47,0,0.0,DZ,1733693121
226,singaraja,-8.112,115.0882,27.37,85,100,2.76,ID,1733693122
227,mercedes,-34.6515,-59.4307,22.66,21,1,3.91,AR,1733693123
228,balikesir,39.75,28.0,12.98,88,75,2.06,TR,1733693124
229,hadibu,12.65,54.0333,24.53,73,59,6.66,YE,1733693125
230,la sarre,48.8002,-79.1996,-12.03,93,100,2.04,CA,1733693126
231,kill devil hills,36.0307,-75.676,17.01,40,0,5.14,US,1733693128
232,newman,37.3138,-121.0208,17.8,55,81,2.24,US,1733693130
233,port lincoln,-34.7333,135.8667,16.84,74,96,3.93,AU,1733693131
234,guiuan,11.0333,125.7247,28.08,81,70,5.11,PH,1733692992
235,uige,-7.6087,15.0613,19.1,97,77,1.6,AO,1733693133
236,bazou,5.0569,10.4698,19.58,51,100,1.23,CM,1733693135
237,iskateley,67.6803,53.1512,-6.59,93,100,7.52,RU,1733693136
238,pemangkat,1.1667,108.9667,26.32,83,100,1.75,ID,1733693137
239,pandan,14.0453,124.1694,25.48,98,100,7.3,PH,1733693138
240,longford,53.7333,-7.8,3.26,88,60,3.08,IE,1733693139
241,chake chake,-5.2459,39.7666,25.51,91,56,3.19,TZ,1733693140
242,ankang,32.68,109.0172,3.19,64,45,1.37,CN,1733693141
243,weno,7.4515,151.8468,27.97,78,100,1.54,FM,1733693142
244,mogok,22.9167,96.5,12.14,97,8,1.37,MM,1733693143
245,onega,63.9061,38.1404,-4.65,91,100,3.2,RU,1733693145
246,hammerfest,70.6634,23.6821,3.25,70,75,7.2,NO,1733693146
247,uturoa,-16.7333,-151.4333,27.05,77,78,9.37,PF,1733693147
248,opuwo,-18.0607,13.84,25.23,36,100,2.49,NA,1733693148
249,mangrol,21.1167,70.1167,20.46,51,96,5.26,IN,1733693149
250,propria,-10.2111,-36.8403,26.15,68,0,6.94,BR,1733693150
251,enewetak,11.3474,162.3373,27.85,79,98,8.0,MH,1733692871
252,tolanaro,-25.0319,46.9987,25.04,88,75,5.14,MG,1733693152
253,sinabang,2.4803,96.3801,25.71,86,99,0.97,ID,1733693153
254,kibondo,-3.5864,30.7203,17.29,80,75,0.45,TZ,1733693154
255,kapuskasing,49.4169,-82.4331,-12.95,85,75,2.57,CA,1733693156
256,benjamin hill,30.1667,-111.1,22.82,17,0,3.06,MX,1733693157
257,callao,-12.0667,-77.15,26.51,64,0,9.26,PE,1733693158
258,sao joao da barra,-21.6403,-41.0511,29.05,85,27,2.27,BR,1733693159
259,ouarzazat,30.9189,-6.8934,16.16,20,20,2.57,MA,1733693160
260,cuyo,10.8525,121.0086,28.16,85,100,12.06,PH,1733692992
261,olyokminsk,60.3736,120.4264,-15.3,97,100,0.77,RU,1733693162
262,waiuku,-37.25,174.75,21.81,85,100,4.33,NZ,1733693163
263,puerto baquerizo moreno,-0.9,-89.6,25.55,73,75,8.23,EC,1733693164
264,itoman,26.1247,127.6694,16.01,65,0,4.63,JP,1733693166
265,porto seguro,-16.4497,-39.0647,27.29,78,20,6.69,BR,1733693167
266,phang nga,8.4509,98.5298,23.74,95,100,1.6,TH,1733693168
267,okhotsk,59.3833,143.3,-14.88,76,90,8.06,RU,1733693170
268,prainha,-1.8,-53.48,31.12,49,49,3.49,BR,1733693171
269,egilsstadir,65.2653,-14.3948,5.95,70,0,8.75,IS,1733693173
270,al ghayzah,16.2079,52.176,23.77,57,58,1.08,YE,1733693174
271,saint-paul,-21.0096,55.2707,24.44,92,19,2.45,RE,1733693175
272,utrik,11.2278,169.8474,27.54,72,9,10.75,MH,1733693176
273,yarrawonga,-36.0167,146.0,15.08,54,61,2.61,AU,1733693177
274,nefteyugansk,61.0998,72.6035,-13.61,92,31,6.07,RU,1733693179
275,yermentau,51.6214,73.1069,-22.63,100,100,0.73,KZ,1733693180
276,zhengjiatun,43.5064,123.5064,-9.09,78,0,2.95,CN,1733693181
277,silvi,42.5456,14.122,7.49,91,20,2.24,IT,1733693182
278,ouesso,1.6136,16.0517,26.09,58,80,0.7,CG,1733693184
279,khandyga,62.6667,135.6,-31.18,100,100,0.81,RU,1733693185
280,carnarvon,-24.8667,113.6333,22.01,85,13,7.21,AU,1733693186
281,long beach,33.767,-118.1892,20.06,69,0,3.6,US,1733692900
282,afaahiti,-17.75,-149.2833,25.42,79,87,8.62,PF,1733692991
